P0010, Camera, N/A, 01/09/2021, 02/10/2023, 3000.0, 1, 0
P0009, Pen, N/A, 01/12/2021, 01/02/2023, 2000.0, 3, 0
P0008, Pizza, S, 01/09/2023, 02/11/2023, 500.0, 3, 1
P0005, filtered water, M, 01/06/2023, 08/11/2023, 3000.0, 30, 0
P0004, Soft drinks, M, 01/05/2023, 07/10/2023, 3000.0, 80, 0
P0007, sticky rice, L, 01/08/2023, 15/03/2023, 5000.0, 56, 1
P0006, Dumplings, S, 01/02/2023, 05/12/2023, 3500.0, 2, 1
P0001, bread, L, 01/02/2023, 12/09/2025, 5000.0, 3, 1
P0011, Snack, M, 01/09/2023, 08/08/2023, 3000.0, 40, 0
P0003, Cookies, M, 11/09/2020, 10/10/2024, 9000.0, 100, 0
P0002, chocopie, S, 01/03/2023, 05/05/2023, 2000.0, 90, 0
